name,phone,language,form_type,source,device,service,consent,submitted_at,time_on_page_sec
Алина,8-717-444-29-78,ru,contact_form,instagram,desktop,contract_law,true,2026-06-29T22:30:00,101
Асхат,77176157279,ru,hero_quick_form,organic,mobile,subscription,true,2026-06-29T03:45:00,100
Бақыт,77175abc248,kz,hero_quick_form,organic,mobile,contract_law,true,2026-06-18T15:30:00,153
Аяулым,77177126846,kz,hero_quick_form,instagram,desktop,debt_recovery,,2026-06-15T09:45:00,156
Жанар,77172881274,kz,hero_quick_form,organic,mobile,,true,2026-06-19T10:45:00,80
Ерлан,77171810111,ru,hero_quick_form,direct,tablet,contract_law,true,2026-06-16T13:15:00,141
Мадина,77171293676,ru,contact_form,instagram,mobile,,true,2026-06-24T22:30:00,92
Асхат,77173234302,ru,contact_form,instagram,mobile,,true,2026-06-21T21:15:00,141
Серік,77175168555,kz,hero_quick_form,organic,mobile,labor_disputes,true,2026-06-29T21:00:00,141
Нұрсұлтан,77174535107,kz,hero_quick_form,google_ads,mobile,labor_disputes,true,2026-06-20T22:30:00,151
Санжар,77176263809,ru,contact_form,referral,mobile,subscription,true,2026-06-25T01:00:00,152
Динара,77171083056,ru,hero_quick_form,organic,mobile,labor_disputes,true,2026-06-16T05:45:00,103
Алина,77178818005,ru,contact_form,instagram,mobile,contract_law,true,2026-07-01T07:30:00,91
Мөлдір,77172008902,kz,hero_quick_form,instagram,desktop,court_representation,true,2026-06-17T00:15:00,98
Ақбота,77178785477,kz,hero_quick_form,direct,mobile,tax_consulting,true,2026-06-16T16:30:00,69
Мадина,8-717-489-15-90,ru,hero_quick_form,instagram,tablet,labor_disputes,true,2026-06-15T10:15:00,57
Бекзат,77173802500,ru,contact_form,direct,mobile,,true,2026-06-26T01:30:00,54
Айгерим,77174142594,ru,hero_quick_form,instagram,desktop,business_registration,true,2026-06-18T10:45:00,104
Серік,77175167906,kz,hero_quick_form,referral,mobile,contract_law,true,2026-06-26T12:45:00,146
Мөлдір,77176578712,kz,hero_quick_form,direct,desktop,subscription,true,2026-06-17T03:15:00,106
Жанар,8-717-212-99-05,kz,contact_form,organic,mobile,court_representation,true,2026-06-17T12:00:00,44
Серік,77177484642,kz,contact_form,instagram,desktop,labor_disputes,true,2026-06-19T05:00:00,99
Санжар,+77178586253,ru,hero_quick_form,direct,mobile,subscription,true,2026-06-26T02:15:00,77
Дәулет,771743,kz,hero_quick_form,organic,desktop,family_law,true,2026-07-04T07:30:00,171
Мөлдір,771713,kz,hero_quick_form,organic,mobile,,true,2026-06-19T09:45:00,96
Ақбота,77176771478,kz,hero_quick_form,direct,mobile,debt_recovery,true,2026-07-01T08:15:00,139
Нурлан,77175511786,ru,hero_quick_form,referral,mobile,tax_consulting,true,2026-07-03T14:15:00,103
Аяулым,77178222954,kz,contact_form,referral,desktop,court_representation,true,2026-06-23T10:15:00,118
Тимур,77173199051,ru,hero_quick_form,referral,mobile,subscription,true,2026-07-02T17:45:00,94
Бекзат,77172893308,ru,hero_quick_form,organic,mobile,tax_consulting,true,2026-07-04T15:15:00,131
Нұрсұлтан,77171830070,kz,contact_form,instagram,tablet,labor_disputes,true,2026-06-21T10:45:00,193
Бекзат,+77179696448,ru,contact_form,direct,mobile,,,2026-06-19T09:30:00,140
Нурлан,77175511786,ru,hero_quick_form,referral,mobile,tax_consulting,true,2026-07-03T14:15:00,103
Санжар,771780,ru,contact_form,organic,tablet,,true,2026-06-30T06:30:00,108
Мадина,77176566226,ru,contact_form,referral,mobile,labor_disputes,,2026-06-16T15:45:00,33
Тимур,77178613056,ru,hero_quick_form,organic,tablet,debt_recovery,true,2026-06-21T01:15:00,163
Динара,77179abc642,ru,hero_quick_form,organic,desktop,court_representation,true,2026-06-24T18:15:00,109
Ерлан,8-717-403-91-25,ru,contact_form,referral,mobile,,true,2026-06-21T12:45:00,113
Алина,77173538648,ru,hero_quick_form,organic,mobile,subscription,true,2026-07-02T00:00:00,50
Серік,77177594889,kz,contact_form,referral,mobile,family_law,true,2026-07-03T02:15:00,143
Бекзат,771798,ru,hero_quick_form,referral,tablet,business_registration,true,2026-06-21T16:00:00,43
Тимур,771781,ru,hero_quick_form,instagram,mobile,court_representation,true,2026-06-23T01:45:00,120
Нурлан,+7 717 634 39 72,ru,contact_form,organic,mobile,,true,2026-06-30T08:00:00,54
Динара,77171568138,ru,contact_form,google_ads,tablet,court_representation,true,2026-06-24T10:00:00,91
Жанар,+7 717 371 21 53,kz,hero_quick_form,google_ads,desktop,,true,2026-07-04T16:30:00,144
Дәулет,77174283991,kz,hero_quick_form,referral,mobile,tax_consulting,true,2026-06-23T17:45:00,131
Санжар,8-717-772-23-68,ru,hero_quick_form,google_ads,desktop,court_representation,true,2026-06-15T22:30:00,48
Нұрсұлтан,77172579162,kz,contact_form,instagram,mobile,family_law,true,2026-06-24T12:45:00,167
Санжар,77172724228,ru,hero_quick_form,instagram,mobile,family_law,,2026-06-19T20:30:00,18
