name,phone,language,form_type,source,device,service,consent,submitted_at,time_on_page_sec,hour,weekday
Айгерим,77172980815,ru,contact_form,organic,mobile,labor_disputes,True,2026-06-24 07:00:00,43,7,Wednesday
Серік,77175154974,kz,contact_form,google_ads,mobile,subscription,True,2026-06-17 22:45:00,48,22,Wednesday
Нурлан,77174185138,ru,contact_form,direct,desktop,business_registration,True,2026-06-28 19:45:00,75,19,Sunday
Гульнара,77177253109,ru,contact_form,organic,mobile,court_representation,True,2026-06-25 10:00:00,72,10,Thursday
Бекзат,77172521936,ru,contact_form,google_ads,mobile,court_representation,True,2026-06-20 20:15:00,93,20,Saturday
Аружан,77172053424,ru,hero_quick_form,google_ads,mobile,subscription,True,2026-06-24 10:30:00,130,10,Wednesday
Тимур,77174905896,ru,hero_quick_form,google_ads,tablet,labor_disputes,True,2026-06-30 14:45:00,101,14,Tuesday
Алина,77174442978,ru,contact_form,instagram,desktop,contract_law,True,2026-06-29 22:30:00,101,22,Monday
Асхат,77176157279,ru,hero_quick_form,organic,mobile,subscription,True,2026-06-29 03:45:00,100,3,Monday
Жанар,77172881274,kz,hero_quick_form,organic,mobile,,True,2026-06-19 10:45:00,80,10,Friday
Ерлан,77171810111,ru,hero_quick_form,direct,tablet,contract_law,True,2026-06-16 13:15:00,141,13,Tuesday
Мадина,77171293676,ru,contact_form,instagram,mobile,,True,2026-06-24 22:30:00,92,22,Wednesday
Асхат,77173234302,ru,contact_form,instagram,mobile,,True,2026-06-21 21:15:00,141,21,Sunday
Нұрсұлтан,77174535107,kz,hero_quick_form,google_ads,mobile,labor_disputes,True,2026-06-20 22:30:00,151,22,Saturday
Санжар,77176263809,ru,contact_form,referral,mobile,subscription,True,2026-06-25 01:00:00,152,1,Thursday
Динара,77171083056,ru,hero_quick_form,organic,mobile,labor_disputes,True,2026-06-16 05:45:00,103,5,Tuesday
Алина,77178818005,ru,contact_form,instagram,mobile,contract_law,True,2026-07-01 07:30:00,91,7,Wednesday
Мөлдір,77172008902,kz,hero_quick_form,instagram,desktop,court_representation,True,2026-06-17 00:15:00,98,0,Wednesday
Ақбота,77178785477,kz,hero_quick_form,direct,mobile,tax_consulting,True,2026-06-16 16:30:00,69,16,Tuesday
Бекзат,77173802500,ru,contact_form,direct,mobile,,True,2026-06-26 01:30:00,54,1,Friday
Айгерим,77174142594,ru,hero_quick_form,instagram,desktop,business_registration,True,2026-06-18 10:45:00,104,10,Thursday
Серік,77175167906,kz,hero_quick_form,referral,mobile,contract_law,True,2026-06-26 12:45:00,146,12,Friday
Мөлдір,77176578712,kz,hero_quick_form,direct,desktop,subscription,True,2026-06-17 03:15:00,106,3,Wednesday
Серік,77177484642,kz,contact_form,instagram,desktop,labor_disputes,True,2026-06-19 05:00:00,99,5,Friday
Ақбота,77176771478,kz,hero_quick_form,direct,mobile,debt_recovery,True,2026-07-01 08:15:00,139,8,Wednesday
Нурлан,77175511786,ru,hero_quick_form,referral,mobile,tax_consulting,True,2026-07-03 14:15:00,103,14,Friday
Тимур,77173199051,ru,hero_quick_form,referral,mobile,subscription,True,2026-07-02 17:45:00,94,17,Thursday
Бекзат,77172893308,ru,hero_quick_form,organic,mobile,tax_consulting,True,2026-07-04 15:15:00,131,15,Saturday
Нұрсұлтан,77171830070,kz,contact_form,instagram,tablet,labor_disputes,True,2026-06-21 10:45:00,193,10,Sunday
Тимур,77178613056,ru,hero_quick_form,organic,tablet,debt_recovery,True,2026-06-21 01:15:00,163,1,Sunday
Ерлан,77174039125,ru,contact_form,referral,mobile,,True,2026-06-21 12:45:00,113,12,Sunday
Алина,77173538648,ru,hero_quick_form,organic,mobile,subscription,True,2026-07-02 00:00:00,50,0,Thursday
Серік,77177594889,kz,contact_form,referral,mobile,family_law,True,2026-07-03 02:15:00,143,2,Friday
Нурлан,77176343972,ru,contact_form,organic,mobile,,True,2026-06-30 08:00:00,54,8,Tuesday
Динара,77171568138,ru,contact_form,google_ads,tablet,court_representation,True,2026-06-24 10:00:00,91,10,Wednesday
Жанар,77173712153,kz,hero_quick_form,google_ads,desktop,,True,2026-07-04 16:30:00,144,16,Saturday
Санжар,77177722368,ru,hero_quick_form,google_ads,desktop,court_representation,True,2026-06-15 22:30:00,48,22,Monday
Нұрсұлтан,77172579162,kz,contact_form,instagram,mobile,family_law,True,2026-06-24 12:45:00,167,12,Wednesday
